,Close
3821,1.51217
24470,1.46599
12789,1.51362
7397,1.47924
18615,1.50766
4634,1.50853
1047,1.50092
27885,1.46569
9322,1.49017
8227,1.48525
4475,1.5062600000000002
26194,1.46
2546,1.50047
8466,1.48843
8731,1.48134
27005,1.46124
17776,1.52101
14968,1.51796
3012,1.50193
24708,1.47654
12573,1.51085
21278,1.48798
25381,1.46557
9263,1.48938
1090,1.4957
14363,1.52493
27719,1.47517
20441,1.48891
4010,1.51016
24997,1.47219
27078,1.4637
7582,1.4809
21996,1.49062
15018,1.51978
24991,1.47225
7277,1.47912
10971,1.50887
27371,1.46055
21395,1.48242
12023,1.49961
13249,1.51066
10569,1.49831
8213,1.48494
20191,1.49739
21574,1.49082
13132,1.50995
19827,1.48603
27340,1.45342
19912,1.48507
20239,1.49479
810,1.50934
15571,1.52819
27255,1.45892
3714,1.50591
24984,1.47279
224,1.512
11574,1.49899
3846,1.5129899999999998
12125,1.49675
5348,1.49688
14383,1.52421
21040,1.48044
20042,1.48722
15196,1.5267
1504,1.5028
3018,1.50145
25588,1.45897
7442,1.4784
16111,1.52359
21960,1.4887
17339,1.53235
8880,1.48063
3261,1.49036
22830,1.4853
15137,1.52591
16758,1.51349
18776,1.502
1771,1.50281
17900,1.51862
1377,1.48952
21859,1.48472
9185,1.48708
13400,1.51694
4159,1.50553
19313,1.4848
20272,1.49187
12154,1.4975
26008,1.46047
10951,1.50786
16891,1.51683
4217,1.50308
11615,1.49519
10830,1.50068
21945,1.4888
16432,1.51719
6870,1.48397
20168,1.49518
21787,1.48447
23606,1.48039
18651,1.50654
12113,1.49893
15130,1.52664
11215,1.51443
3511,1.5041
9061,1.48899
433,1.51043
6603,1.49351
27919,1.46693
7505,1.48135
23110,1.48377
19866,1.48526
19000,1.49811
27006,1.46125
19674,1.48702
11201,1.51567
1535,1.50192
2878,1.49761
5140,1.50609
23615,1.47882
21393,1.48269
1272,1.49156
21875,1.4847
6307,1.49452
10030,1.48796
