,Close
282,1.07717
82,1.08454
84,1.08455
66,1.08407
288,1.07729
163,1.08164
154,1.08157
19,1.08387
124,1.08317
79,1.08446
114,1.08328
118,1.08294
72,1.08439
15,1.08379
10,1.08353
194,1.08127
101,1.08372
68,1.08431
224,1.07703
37,1.08369
16,1.08386
179,1.08128
147,1.08173
274,1.0766
67,1.08409
228,1.07647
69,1.08426
31,1.08404
183,1.08112
265,1.0765
225,1.07673
140,1.08239
18,1.08387
181,1.08129
96,1.08357
132,1.08267
262,1.07658
86,1.08423
248,1.07642
245,1.07652
116,1.08296
146,1.08155
292,1.07705
197,1.0793
206,1.07887
55,1.08389
172,1.08079
184,1.08101
167,1.08155
139,1.08227
253,1.07618
38,1.08369
125,1.08311
195,1.08104
283,1.0773
137,1.08207
112,1.08309
168,1.08146
117,1.0828
277,1.07653
271,1.07637
155,1.08143
176,1.0813
178,1.08144
2,1.08376
115,1.08307
143,1.08173
177,1.0815
120,1.08272
210,1.0783
260,1.07645
127,1.08299
74,1.08453
29,1.08405
83,1.08452
269,1.07669
107,1.08324
223,1.07712
158,1.08119
280,1.07675
246,1.07652
222,1.07742
65,1.08398
198,1.07896
85,1.08438
213,1.07808
159,1.08098
12,1.08374
35,1.08365
28,1.08394
142,1.08154
284,1.07715
254,1.07632
170,1.08092
51,1.08359
95,1.08362
208,1.07866
247,1.07648
41,1.08346
89,1.08399
244,1.0766
136,1.08202
26,1.08404
293,1.07718
141,1.08207
200,1.07852
0,1.08388
268,1.0767
272,1.07654
100,1.08368
259,1.07638
255,1.07632
171,1.08094
98,1.08368
36,1.08371
61,1.08405
150,1.08144
236,1.07772
202,1.07893
242,1.07693
11,1.08374
296,1.07704
267,1.07654
27,1.08394
219,1.07808
4,1.08363
122,1.08272
32,1.08399
204,1.07939
162,1.08153
209,1.07853
285,1.07705
138,1.08222
62,1.08416
135,1.08202
128,1.08282
290,1.07737
8,1.08363
70,1.08442
264,1.07648
64,1.08458
44,1.08364
279,1.07667
156,1.08177
40,1.08345
123,1.08322
275,1.07653
216,1.07799
153,1.08144
23,1.08398
261,1.07646
110,1.08313
81,1.08459
207,1.07894
212,1.07803
39,1.08365
240,1.07764
291,1.07724
258,1.07628
199,1.07957
14,1.08382
47,1.08379
94,1.08389
263,1.07669
227,1.0769
273,1.07647
201,1.07904
161,1.08144
43,1.08351
217,1.07803
145,1.08157
190,1.08142
220,1.07836
251,1.07621
3,1.08367
105,1.08335
53,1.08379
133,1.08271
1,1.08379
131,1.08277
103,1.08342
49,1.0837
80,1.08452
205,1.07866
34,1.08375
91,1.08383
52,1.08369
241,1.07705
13,1.08376
88,1.08408
166,1.08174
294,1.07722
134,1.08212
287,1.0772
243,1.07689
54,1.0837
50,1.08343
174,1.08069
189,1.08127
298,1.07686
187,1.08157
169,1.08123
58,1.08412
48,1.08367
235,1.07726
252,1.07625
21,1.08388
160,1.08071
276,1.07661
191,1.08122
257,1.07642
149,1.08137
130,1.0825
151,1.08189
99,1.08363
87,1.08412
214,1.0777
121,1.08254
299,1.07665
20,1.08388
188,1.08144
71,1.08456
106,1.08322
270,1.07649
102,1.08352
